city,address,x,y,technology,parsedAddress,parsedLon,parsedLat
Київ,"вулиця Ентузіастів, 43","30,5952924","50,4437201",,"43, вулиця Ентузіастів, Русанівка, Дніпровський район, Київ, 02002, Україна",30.595276660117204,50.4436284
Київ,"вулиця Ентузіастів, 45","30,5945821","50,4440491",,"45, вулиця Ентузіастів, Русанівка, Дніпровський район, Київ, 02002, Україна",30.594574468803863,50.4439599
Київ,"бульвар Ігоря Шамо, 20","30,598527","50,4422679",,"20, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.598679124035904,50.442424900000006
Київ,"бульвар Ігоря Шамо, 20/1","30,5991683","50,4419111",,"20/1, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.599331646092654,50.44200255
Київ,"бульвар Ігоря Шамо, 2/7","30,5996061","50,4353298",,"2/7, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.599689238525713,50.4353546
Київ,"бульвар Ігоря Шамо, 4","30,598868","50,4359965",,"4, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.59915318808317,50.43581185
Київ,"бульвар Ігоря Шамо, 10","30,5978596","50,4373797",,"10, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.597922403076637,50.4373063
Київ,"бульвар Ігоря Шамо, 12","30,5981242","50,4386421",,"12, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.598023935538663,50.4386734
Київ,"бульвар Ігоря Шамо, 14","30,5975237","50,4398635",,"14, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.597551486832444,50.4400069
Київ,"бульвар Ігоря Шамо, 7","30,5965711","50,4375033",,"7, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.59665560929004,50.437304
Київ,"бульвар Ігоря Шамо, 1/5","30,5987536","50,4350879",,"1/5, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.598774000000006,50.434981449999995
Київ,"бульвар Ігоря Шамо, 3","30,5980801","50,4356175",,"3, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.598165265478464,50.435606699999994
Київ,"бульвар Ігоря Шамо, 13","30,5962441","50,4398551",,"13, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.596300660800477,50.439785650000005
Київ,"бульвар Ігоря Шамо, 15","30,5964282","50,4406954",,"15, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.596482800554945,50.4407037
Київ,"бульвар Ігоря Шамо, 19","30,5975739","50,4424762",,"19, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.597593925862732,50.44244055
Київ,"бульвар Ігоря Шамо, 19/1","30,596686","50,4424831",,"19/1, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.596820371513182,50.4426278
Київ,"бульвар Ігоря Шамо, 13А","30,5953396","50,4400425",,"13-А, бульвар Ігоря Шамо, Русанівка, Дніпровський район, Київ, 02154, Україна",30.595423099999998,50.44007175
Київ,"Русанівська набережна, 6","30,5937977","50,4359155",,"6, Русанівська набережна, Русанівка, Дніпровський район, Київ, 02154, Україна",30.593868699685512,50.43590965
Київ,"Русанівська набережна, 8","30,592739","50,4371294",,"8, Русанівська набережна, Русанівка, Дніпровський район, Київ, 02154, Україна",30.592925201102023,50.43692085
Київ,"Русанівська набережна, 8/1","30,5938078","50,4370164",,"8/1, Русанівська набережна, Русанівка, Дніпровський район, Київ, 02154, Україна",30.593783088538643,50.437206399999994
Київ,"Русанівська набережна, 8/2","30,5925942","50,437881",,"Русанівська набережна, Березняки, Дніпровський район, Київ, 02154, Україна",30.591801117781195,50.43113834188201
Київ,"Русанівська набережна, 4","30,5930783","50,4348621",,"4, Русанівська набережна, Русанівка, Дніпровський район, Київ, 02154, Україна",30.593184210319635,50.4347871
Київ,"Русанівська набережна, 4/1","30,5940774","50,434875",,"4/1, Русанівська набережна, Русанівка, Дніпровський район, Київ, 02154, Україна",30.59422165985943,50.43457785
Київ,"Русанівська набережна, 10","30,5923491","50,4398478",,"10, Русанівська набережна, Русанівка, Дніпровський район, Київ, 02154, Україна",30.592373055399584,50.43977425
